b-property-foundation-runtime-v2
stage	C1.5 receipt contract compatibility
base	0152616fb9a25effdff68fa9da24fea7db8a21a7
supersedes	19bf8971238947fb235b0cd32a455a5f744a76494ee185d3517ceb0ecd149d4a
parent-contract	e27d523469491916efbda41b0570e146362a0d6037a54454330650dc8b397944
runtime-freeze	47643a485e6fd4898c1b6f5cc61c580ac29121d87365b10da4d538dce8d8e2cf
product-access-freeze	d7ced7b7e08543876bc117165fe5b47ce0379a69f78368a4ba7fb68d32d96040
identity-freeze	062ba02b310e00a7fb43e3288e1cd78c55f23d30518e8aeac006eae8b7ea9496
physical-freeze	3830b12d665bbfb39c6e2747637ebd1592f7abfbe4d44af53c64aa123dd844d5
schema-expand	53e568d409420dc6c38a8139a553735083502f05d6aeb2f3e14adcbb95276874
shared-source	d444a85ec6be5dcaf0cc0315fdab7aafdbf1493322a6df104930aaad226b633a
endpoint-manifest	6b82b875f432d4e1d1efc01ce32b958b4a8b193e764862b7886b710bb0ded2fd
legacy-action-manifest	4e48a5d5085e09668b4690a582e1d3703feef0b4fadfcf37ddec99177e97f4d9
port-v2-manifest	34b48dd58ada4c82a15f6b1b3b997f66873700eb43ac571f253efa039c25a975
candidate-s2	9852b7199a9e35bed54dc73c7e0a2f799a6082165c12a61e30ce83d6e5972075
candidate-s3	6c400535a31b2bf3024dba6a7b461e9ce23f89230843a9d4b1a8ce9b16294fcb
files-canonical	bd0b91aec02c728112f8a2304fd1b80f1d4e14fb45857c2815bb4e44198e78a9
candidate-integration	be2fe53d7f0349a2b68ec0867ef294b8ea9f769f48ca35d45ba797fa9182579b
app-module	225fbdfa17f7d2ec99f280d909cab057fc04b803c06fbf2ae378874707ef09fb
validation	PASS
open-p0-p1	pending-independent
