c4-input-freeze-v1
stage	C4 INPUT PASS
owner	property-task-input-gate-owner
c3-final-signoff	efed9823bfa6086319447c69068a744231a3a2b793997cfd887e0b318107b27d
c3-runtime-artifact	76ed0588c25a0e88eb365ccff1a51e1cec2d8db26c16e127b1479feff250363a
c3-runtime-detached-manifest	01696a19a7876719d40b3fb23f0aad417431d3e1d97044002f432aeace493a5d
c3-runtime-input-freeze	30775a755c570a15938989a99d567b81c33eaf3ede1a53079dbeaf543a1cdcfa
b-approval-runtime-sidecar	30168511b4ea2028afebf45300a399dcb3f0d15b6ed279368611447a61f1f589
b-approval-runtime-canonical	49808f0e7e87908755bbf30384f4d338c92065e6a1f896856effaf1a1529f36c
foundation-contract-v2-attestation	8ee9ae99efbb14dd346ff10b78ed5af759c893b5f83d3d30188549f85e28807e
appmodule-contract-v2-reattestation	56edea04fd350523e93d7cd3cd1de3e71a68bcd005b4dd10b4b2375da21d013f
appmodule-raw	225fbdfa17f7d2ec99f280d909cab057fc04b803c06fbf2ae378874707ef09fb
b-contract	e27d523469491916efbda41b0570e146362a0d6037a54454330650dc8b397944
shared-source	d444a85ec6be5dcaf0cc0315fdab7aafdbf1493322a6df104930aaad226b633a
endpoint-manifest	6b82b875f432d4e1d1efc01ce32b958b4a8b193e764862b7886b710bb0ded2fd
endpoint-row-count	49
error-filter	ff28353767c7f44acf7a57561be3f1750e4ff8d117377aa46a393d8845abfad0
error-filter-sidecar	9ca15ef645574a8c86a3f0cd5c3cdd238aa55ac0dddab99fae9be140275b16c2
000188	e0b659d9d5c35eec67cfa029240538626492736e4f450f2b47acb40e25dc4e08
000194	93d99ac7b610df7aada4b57ba2c8ea1989aa40826910eedf4117ddcd39cc10f0
000195	9b89f6dbfdec8cfcaa278dffb58677f8b9ccd3032f30f0f264155b6c656198f4
c2-final-candidate	b5169a6e2668d3a2491814f34dd6745e386056f721236160aa5fe331aae41e50
c2-detached-manifest	67bca562e4b80a12b7fb9cde03e14eb622f27154e649b402c9a8f5f8a8065844
c2-projection-schema	8d36af019b125e5e6fac5fd99a632c00154d2126c228c7bb4ba50f5091ff7868
c2-function-artifact	efec512c186d64d025be6760aeeec730c11d8b176dd70ad9dc7a2c4146af043a
c2-function-definition-grammar	62af6e29ce78590b1c90621eefb5319ef101f7375b347fc4f6dc5a0341704c1f
c2-projection-replace-definition	50655ce0ca2a74ff653066b77b9ff60cd969663e07f6828934fd21ef601f2b47
c2-budget-candidate	127d8574978bf6719a4fe9a7865e5c99333fa3dfd93c8e3f0dcccc17d152c0b4
c2-budget-evidence	38ebd4148083f3439a3456079ecc77a9aff1da41a19d113f61c90d30cd5499c0
c2-budget-canonical	d86fc62ec471ec85f7fcc1e7dbf74093b6c9cf5deeb5d93f8b08038a03c6cc45
c2-budget-final-signoff	1744d43ec80c9faeb52abb8659c78655df6575ad75024392b1c770644a5a0ac4
receipt-token	PROPERTY_MUTATION_RECEIPT_PORT
production-registry-count	0
allowed-owned-path	apps/api/src/modules/property-tasks/**
forbidden-owned-paths	apps/api/src/modules/property-approvals/**,packages/shared/**,database/migrations/**,apps/api/src/app.module.ts
validation	PASS
open-p0-p1	[]
